ecosystem,package_name,prev_version,version,y_malicious,delta_num_requires_dist,delta_summary_len,delta_description_len,delta_num_classifiers,delta_has_author,delta_has_license,delta_num_dependencies,delta_num_dev_dependencies,delta_num_scripts,delta_num_keywords,delta_version_len,delta_version_num_dots,delta_version_has_prerelease
npm,@accordproject/concerto-analysis,3.22.1-20250825143753,3.23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-analysis,3.23.0,3.23.1-20250827125749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-analysis,3.23.1-20250827125749,3.24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-analysis,3.24.0,3.24.1-20250827130031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-linter,3.22.1-20250825143753,3.23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-linter,3.23.0,3.23.1-20250827125749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-linter,3.23.1-20250827125749,3.24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-linter,3.24.0,3.24.1-20250827130031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-linter-default-ruleset,3.22.1-20250825143753,3.23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-linter-default-ruleset,3.23.0,3.23.1-20250827125749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-linter-default-ruleset,3.23.1-20250827125749,3.24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-linter-default-ruleset,3.24.0,3.24.1-20250827130031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-metamodel,3.12.3,3.12.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@accordproject/concerto-metamodel,3.12.4,3.12.4-20250801101023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-metamodel,3.12.4-20250801101023,3.12.4-20250801113513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@accordproject/concerto-metamodel,3.12.4-20250801113513,3.12.5-20250801113804,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@accordproject/concerto-types,3.22.1-20250825143753,3.23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-types,3.23.0,3.23.1-20250827125749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@accordproject/concerto-types,3.23.1-20250827125749,3.24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,-1.0
npm,@accordproject/concerto-types,3.24.0,3.24.1-20250827130031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0
npm,@amagioss/js-timecode,0.0.1-security,1.3.7,1,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.0,0.0,-1.0
npm,@aoflmkt/form-validators,0.0.1-security,100.100.106,1,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-3.0,0.0,-1.0
npm,@aoflmkt/is-webp-qualified,0.0.1-security,100.100.106,1,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-3.0,0.0,-1.0
npm,@asyncapi/modelina,5.1.0,5.1.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/modelina,5.1.1,5.10.0,0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
npm,@asyncapi/modelina,5.10.0,5.10.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/modelina,5.10.1,5.10.2-next.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0
npm,@asyncapi/modelina-cli,5.1.0,5.1.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/modelina-cli,5.1.1,5.10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
npm,@asyncapi/modelina-cli,5.10.0,5.10.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/modelina-cli,5.10.1,5.10.2-next.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0
npm,@asyncapi/studio,0.2.6,0.2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/studio,0.2.6,0.2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/studio,0.2.7,0.2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/studio,0.2.7,0.2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/studio,0.2.8,0.2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/studio,0.2.8,0.20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,1.0,0.0,1.0,0.0,0.0
npm,@asyncapi/studio,0.20.0,0.20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/studio,0.20.0,0.20.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@asyncapi/studio,0.20.1,0.20.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@bh-ui/theme,0.0.1-security,1.0.0,1,0.0,0.0,-24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.0,0.0,-1.0
npm,@browserbasehq/stagehand,3.0.3-alpha-a9b58f1cae6c5da571c7b0c9f02e425490e0c75d,3.0.3-alpha-ab51232db428be048957c0f5d67f2176eb7a5194,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@browserbasehq/stagehand,3.0.3-alpha-ab51232db428be048957c0f5d67f2176eb7a5194,3.0.3-alpha-c76ade009ef81208accae6475ec4707d3906e566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@browserbasehq/stagehand,3.0.3-alpha-c76ade009ef81208accae6475ec4707d3906e566,3.0.3-alpha-ffb5e5d2ab49adcb2efdfc9e5c76e8c96268b5b3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@browserbasehq/stagehand,3.0.3-alpha-ffb5e5d2ab49adcb2efdfc9e5c76e8c96268b5b3,3.0.4-alpha-04d68f9734ddb2342d4e8b5c068fac3bfabdf2f2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
npm,@cat-wc/utilities,0.0.1-security,1.0.1,1,0.0,0.0,-21.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-9.0,0.0,-1.0
npm,@dev-blinq/cucumber-js,1.0.129-dev,1.0.13-stage,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
npm,@dev-blinq/cucumber-js,1.0.13-stage,1.0.130,0,0.0,0.0,151.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,-5.0,0.0,-1.0
npm,@dev-blinq/cucumber-js,1.0.130,1.0.130-dev,0,0.0,0.0,-151.0,0.0,0.0,0.0,-3.0,0.0,-1.0,0.0,4.0,0.0,1.0
npm,@dev-blinq/cucumber-js,1.0.130-dev,1.0.131-dev,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.734-stage,1.0.735,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,11.0,0.0,-6.0,0.0,-1.0
npm,@dev-blinq/cucumber_client,1.0.735,1.0.735-dev,0,0.0,0.0,-1.0,0.0,0.0,0.0,-7.0,-6.0,-13.0,0.0,4.0,0.0,1.0
npm,@dev-blinq/cucumber_client,1.0.735-dev,1.0.735-dev,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.735-dev,1.0.735-stage,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.735-stage,1.0.735-stage,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.735-stage,1.0.736-dev,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,-2.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.736-dev,1.0.736-dev,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.736-dev,1.0.736-dev,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.736-dev,1.0.736-stage,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.736-stage,1.0.736-stage,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.736-stage,1.0.737-dev,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,-2.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.737-dev,1.0.737-dev,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.737-dev,1.0.737-dev,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.737-dev,1.0.737-stage,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.737-stage,1.0.737-stage,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.737-stage,1.0.738-dev,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,-2.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.738-dev,1.0.738-dev,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.738-dev,1.0.738-stage,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
npm,@dev-blinq/cucumber_client,1.0.738-stage,1.0.739-dev,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,-2.0,0.0,0.0
npm,@dm3-org/dm3-lib-shared,1.5.0,1.6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dm3-org/dm3-lib-shared,1.6.0,1.6.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dm3-org/dm3-lib-shared,1.6.1,1.7.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dm3-org/dm3-lib-shared,1.7.1,1.7.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@dz-lib/dz-cli,0.0.1-security,1.0.0,1,0.0,0.0,-24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-9.0,0.0,-1.0
npm,@ensdomains/ensjs,4.0.1-alpha.0,4.0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.0,-1.0,-1.0
npm,@ensdomains/ensjs,4.0.2,4.0.2-alpha.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0
npm,@ensdomains/ensjs,4.0.2-alpha.5,4.0.2-alpha.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@ensdomains/ensjs,4.0.2-alpha.7,4.0.3-alpha.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npm,@gitlab-test/bun-v1,0.0.1-security,0.3.0,1,0.0,0.0,-21.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-9.0,0.0,-1.0
